question,answer
How to grow off-season tomatoes in plastic tunnels?,"Plastic tunnels protect tomatoes from heavy monsoon rains, excessive cold, and insect pests. Use indeterminate hybrid varieties, maintain 1.5–2 meter height, prune regularly, and ensure cross-ventilation on sunny days."
What causes sunscald on tomato fruits?,"Sunscald appears as shiny white or light tan blistered patches on green or ripening fruit exposed directly to hot midday sun. Maintain adequate leaf canopy, avoid over-pruning, and use 30% shade netting during peak summer heat."
How to store harvested tomatoes to increase shelf life?,"Store mature green or breaker-stage tomatoes at 12–15°C with good air circulation. Never store unripe tomatoes in a cold refrigerator (<10°C) as it destroys flavor and texture; keep ripe fruit in a cool, ventilated room."
How to prepare Bordeaux mixture fungicide?,"Bordeaux mixture is made by dissolving 100g Copper Sulfate and 100g unslaked Lime in 10 liters of water (1:1:100 ratio) in plastic containers. Test neutrality with an iron nail, and spray freshly prepared mixture against blights and rots."
How to use Trichoderma bio-fungicide?,"Trichoderma is a beneficial fungus that feeds on harmful soil-borne pathogens. Mix 1 kg Trichoderma with 100 kg compost/FYM, keep moist under shade for 7 days, and apply to nursery beds or transplant pits."
How to make botanical pesticide from local herbs?,"Grind local bitter/pungent leaves (Titepati, Asuro, Bakaino, Neem, Chili, Garlic) and boil or ferment in water/cow urine for 10-15 days. Filter and dilute 1:5 with water, adding a pinch of soap as a natural spreader against sucking pests."
How to test soil pH and fertility in Nepal?,"Collect V-shaped soil samples from 10-15 spots in your field at 15 cm depth, mix thoroughly, dry in shade, and take 500g to your local Agriculture Knowledge Center (AKC) or use a digital soil pH test kit."
How to make vermicompost (earthworm manure)?,"Prepare a shaded brick tank or pit (1m deep), layer with crop residue and half-decomposed cattle manure, introduce Eisenia fetida red earthworms, keep moist (60-70%), and collect dark granular castings after 45-60 days."
What are the signs of Magnesium and Zinc deficiency?,Magnesium deficiency causes yellowing between leaf veins on older lower leaves while veins stay green (interveinal chlorosis). Zinc deficiency causes small clustered leaves (little leaf) and stunted plant tips. Spray Epsom salt (Mg) or Zinc sulfate.
What is Green Manure and how to use it?,Green manuring involves growing fast-growing leguminous crops like Dhaincha (Sesbania) or Sunnhemp and plowing them into the soil at flowering stage (45-50 days). It adds 20-30 kg nitrogen per hectare and enriches soil organic matter.
How to control Late Blight in Potato?,"Potato Late Blight attacks foliage and tubers during cold fog and rain. Spray Mancozeb (2.5 g/L) prophylactically before disease onset. Upon spotting water-soaked spots, spray Metalaxyl + Mancozeb (2 g/L) and hill up soil around tubers."
How to control leaf curl and fruit rot in Chili?,"Chili leaf curl is spread by thrips and mites. Spray Imidacloprid (0.5 ml/L) or Fenazaquin. For fruit rot/dieback (Anthracnose), remove rotting chilies and spray Copper Oxychloride (2.5 g/L) or Azoxystrobin."
How to control fruit flies in cucumber and gourds?,"Fruit flies lay eggs inside tender cucurbit fruits causing worm infestation and rotting. Install Cue-lure pheromone traps (Phero-traps @ 4/ropani), hang protein bait sprays, and bag young fruits with paper covers."
How to manage Clubroot disease in Cauliflower and Cabbage?,Clubroot (Plasmodiophora) causes swollen club-like root galls and daytime wilting in acidic soils. Raise soil pH above 7.0 by applying agricultural lime (Chun @ 50 kg/ropani) 3 weeks before planting and avoid planting brassicas in infected fields.
How to control Diamondback Moth (DBM) in cabbage and cauliflower?,"DBM caterpillars chew holes in cabbage and cauliflower heads. Install yellow/pheromone traps, intercrop with mustard as a trap crop, and spray biological Bacillus thuringiensis (Bt) or Spinosad (0.5 ml/L)."
How to control Purple Blotch in Onion and Garlic?,"Purple Blotch causes sunken oval purple spots on onion/garlic leaves. Avoid overhead sprinkling, ensure good field drainage, and spray Mancozeb or Difenoconazole (1 ml/L) mixed with a sticker."
What is Integrated Pest Management (IPM)?,"IPM is an eco-friendly crop protection approach combining cultural methods (crop rotation, clean weeding), mechanical methods (sticky/pheromone traps), biological controls (beneficial insects, Trichoderma), and using chemicals only as a last resort."
How do yellow and blue sticky traps work?,"Yellow sticky traps attract and trap sap-sucking whiteflies, winged aphids, and leaf miners. Blue sticky traps attract thrips. Hang traps 15-20 cm above the plant canopy at 10-15 traps per ropani."
How do pheromone traps work in vegetable farming?,Pheromone traps use species-specific female sex pheromones to attract and trap male moths (such as Helicoverpa fruit borer or Tuta leafminer). Trapping males breaks the mating cycle and drastically reduces caterpillar damage.
What is plastic mulching and what are its benefits?,"Silver-black plastic mulch covers planting beds to suppress weed growth, conserve soil moisture, warm the root zone for early harvest, reflect sunlight to repel aphids, and prevent soil-borne pathogens from splashing onto leaves."
How to manage temperature and ventilation in plastic tunnels?,Open tunnel side vents early in the morning on sunny days to vent humidity and hot air (ideal temp: 22–28°C). Close vents before sunset in winter to trap daytime heat and prevent nighttime frost damage.
How to protect vegetable crops from hailstorms?,"Install nylon anti-hail nets (30-40 mesh) over nursery beds and open vegetable rows supported on bamboo or GI pipe frames. Anti-hail nets absorb impact force, protecting tender foliage and ripening fruits from tearing."
What is rainwater harvesting for greenhouse farming?,"Collect rainwater runoff from polytunnel roofs using PVC gutters connected to a silpaulin plastic-lined recharge pond. A 100 sq meter tunnel roof can harvest over 80,000 liters of clean, mineral-rich irrigation water during monsoon."
How to apply for agricultural crop insurance in Nepal?,"Nepal government subsidizes 80% of crop insurance premiums. Farmers can visit local non-life insurance agents, cooperative offices, or the local ward agriculture officer with land ownership certificate (Lalpurja) and citizenship."
Where can farmers get soil testing and technical advice in Nepal?,"Free or low-cost soil testing and agricultural advice are available at local Municipality Agriculture Sections, District Agriculture Knowledge Centers (AKC), and Regional Soil Testing Laboratories across all provinces."
How to grade and package vegetables for market?,"Sort harvested vegetables into Grade A (uniform size, zero blemishes), Grade B, and Grade C. Pack in well-ventilated plastic crates rather than tight nylon sacks to prevent bruising, heat buildup, and transport rotting."
What safety precautions should be taken when spraying pesticides?,"Always wear protective mask, gloves, long sleeves, and boots. Never spray against the wind direction or during hot midday sun. Do not eat, drink, or smoke while handling chemicals, and bathe thoroughly after spraying."
How to safely clean and dispose of empty pesticide containers?,"Triple-rinse empty pesticide bottles with water, pouring the rinse water back into the spray tank. Puncture the container so it cannot be reused, and dispose of it in a designated hazardous waste pit away from water sources."
Why do tomato leaves curl upward without insect pests?,"Physiological leaf curl is a natural defense reaction to high temperatures, intense sunlight, dry winds, or heavy pruning. If leaves are curled but green and healthy without yellowing or stunting, it does not harm yields."
Can fresh animal manure be applied directly to vegetable fields?,"Never apply fresh unrotted manure directly to crops. Fresh manure produces high ammonia that burns roots, carries weed seeds and pathogens (E. coli, fungal spores), and robs nitrogen from the soil during decomposition."
How does raw cow milk spray protect vegetables from viruses?,"Spray a 1:9 mixture of fresh raw cow milk and water on foliage. The milk proteins coat leaves, deactivating plant viruses and creating a natural protective barrier against powdery mildew fungal spores."
What is crop rotation and why is it essential?,"Crop rotation means never planting crops from the same family (like tomato, potato, chili, eggplant) in the same field consecutively. Rotating with legumes, corn, or brassicas starves soil-borne diseases and restores balanced soil nutrients."
How to control Cutworms (Phed katne kira)?,"Cutworms hide in the soil during the day and sever young seedling stems at night. Flood fields before planting to expose larvae to birds, use light traps, and drench the base of seedlings with Chlorpyrifos or Neem cake."
How to control Termites (Uiya) in farming soil?,"Termites attack plant roots in dry sandy soils. Incorporate well-rotted manure (never unrotted wood/straw), apply Neem cake (20-30 kg/ropani) during land preparation, and drench affected root zones with Chlorpyrifos."
What is the difference between contact and systemic fungicides?,"Contact fungicides (like Mancozeb, Copper) remain on the leaf surface as a protective barrier and must be applied before infection. Systemic fungicides (like Metalaxyl, Hexaconazole) are absorbed into plant sap to cure internal infections."
How to prevent root-knot nematodes in vegetables?,"Root-knot nematodes (Meloidogyne) cause root swellings and stunted yellow plants. Intercrop with French Marigolds (Sayapatri), solarize soil with clear plastic in May-June, and apply Paecilomyces lilacinus bio-nematicide."
How to properly calibrate a knapsack sprayer pump?,"Fill sprayer with clean water, spray a 10x10 meter plot at normal walking speed, measure water used, and calculate exact water volume needed per ropani. This ensures pesticides are never applied too weak (ineffective) or too concentrated (leaf burn)."
How to control Fall Armyworm in Maize?,"Fall Armyworm larvae devastate maize whorls and leaves. Inspect crop early, apply sand or wood ash mixed with chili in whorls, release Trichogramma egg parasitoids, and spray Spinetoram (0.5 ml/L) or Emamectin Benzoate (0.4 g/L)."
How to control Stem Borer and Blast in Rice?,"Rice Stem Borer larvae cause dead hearts and white heads; install light traps and apply Cartap Hydrochloride. For Rice Blast fungus causing spindle-shaped lesions, spray Tricyclazole 75% WP (1 g/L) or Kasugamycin."
How to manage Rhizome Rot in Ginger?,"Ginger Rhizome Rot is caused by Pythium fungus and waterlogging. Ensure raised drainage beds, treat seed rhizomes with Mancozeb (3 g/L) before planting, solarize soil, and drench affected beds with Metalaxyl or Trichoderma."
How to prevent Fruit Drop in Orange and Citrus?,"Premature fruit drop in citrus occurs due to fruit fly, fungal stylar rot, or micronutrient deficiency. Spray Zinc Sulfate + Boron at flower initiation, install methyl eugenol fruit fly traps, and spray Carbendazim (1 g/L)."
How to control Thrips in Onion and Garlic?,"Thrips are tiny slender insects rasping leaves and leaving silvery patches with black specks. Spray Neem-based azadirachtin (3 ml/L), blue sticky traps, or Fipronil (1.5 ml/L) during early morning hours."
How to control Tuta Absoluta leafminer in tomatoes?,"Tuta Absoluta caterpillars mine leaf mesophyll and drill holes in tomato fruits. Use blacklight and Tuta-specific pheromone traps, maintain fine mesh netting in tunnels, and spray Chlorantraniliprole (Coragen @ 0.3 ml/L)."
How to manage Chirke and Furkey disease in Large Cardamom?,"Chirke and Furkey are viral diseases spread by aphids. Immediately uproot and burn infected cardamom clumps, plant disease-free tissue-cultured suckers, and control aphid vectors using Dimethoate or soapy spray."
How to prepare Jeevamrit organic liquid fertilizer?,"Mix 10 kg cow dung, 10 L cow urine, 2 kg jaggery (Gud), 2 kg pulse flour (Besan), and a handful of fertile virgin soil in 200 L water. Stir twice daily for 5-7 days. Apply 200 L/acre directly to soil as a powerful microbial tonic."
How to control Mustard Aphid in oilseed crops?,"Mustard aphids multiply rapidly during cloudy winter weather. Sow mustard early (by mid-October) to escape attack, conserve ladybird beetles, and spray Rogor (Dimethoate 30 EC @ 1 ml/L) only if threshold exceeds 20 aphids/plant."
How to store seed potatoes naturally in rustic stores?,"Store seed potatoes in well-ventilated, diffused-light rustic wooden stores (DES stores) in thin layers (2-3 tubers deep). Diffused light encourages short, sturdy green sprouts while preventing rotting and rodent damage."
How to manage Powdery and Downy Mildew in Cucurbits?,Powdery mildew shows white fungal powder on upper leaf surfaces; spray Wettable Sulfur (2 g/L). Downy mildew causes angular yellow leaf patches with purplish underside mold; spray Metalaxyl + Mancozeb (2 g/L) and improve drainage.
How to grow Oyster Mushrooms at home in straw bags?,"Chop dry paddy straw to 2-3 inches, boil in water for 45 minutes, drain and cool to room temperature. Layer sterilized straw with mushroom spawn (Pleurotus) in perforated plastic bags, keep in dark room (22-25°C), and open for fruiting in 18-21 days."
How does beekeeping increase vegetable crop pollination and yield?,"Honeybees provide cross-pollination for cucurbits, mustard, apples, and tomatoes, increasing fruit set by 30–50%, reducing misshapen fruits, and providing supplementary honey income. Avoid chemical spraying during morning bee foraging hours."
When and how should compost manure be applied?,Apply well-decomposed compost (1–2 tons per ropani) 2–3 weeks before sowing during final land preparation and mix thoroughly into the top 15 cm of soil. Never leave compost exposed on the surface to prevent nutrient volatilization.
How to correct acidic soil using agricultural lime (Chun)?,"Test soil pH first; if pH is below 5.5, broadcast agricultural limestone powder (Calcium carbonate @ 25-50 kg/ropani) evenly during land preparation 3-4 weeks before planting and mix well with soil moisture."
How to prepare Neem-based natural pesticide?,"Crush 5 kg fresh green Neem leaves in 10 L water, add 1 L cow urine, and allow to ferment for 3–4 days. Filter through a cloth and dilute 1:4 with water, adding a pinch of mild soap as a sticking agent. Spray thoroughly to deter chewing and sucking insects."
