question,answer
बिरुवामा म्याग्नेसियम र जिंकको कमीका लक्षण के हुन्?,"म्याग्नेसियमको कमीमा पुराना तल्लो पातका नशाहरू हरियै रहन्छन् तर नशा बीचको भाग पहेंलो हुन्छ (Interveinal Chlorosis)। जिंकको कमीमा नयाँ पातहरू साना, झुप्पा जस्ता र बिरुवाको टुप्पो खुम्चिन्छ। यसका लागि म्याग्नेसियम सल्फेट वा जिंक सल्फेट छर्कनुहोस्।"
हरियो मल (धैँचा) कसरी प्रयोग गर्ने?,हरियो मलका लागि छिटो बढ्ने कोसेबाली जस्तै धैँचा (Dhaincha) वा सनहेम्प छर्नुहोस्। बाली फूल फुल्ने बेला (४५-५० दिनमा) ट्रयाक्टर वा हलोले जोतेर माटोमा मिलाउनुहोस्। यसले माटोमा प्रति हेक्टर २०-३० केजी नाइट्रोजन थप्छ।
आलुमा डढुवा रोग कसरी नियन्त्रण गर्ने?,आलुको पछौटे डढुवा चिसो कुहिरो र पानी पर्दा पात तथा दानामा लाग्छ। रोग लाग्नुअघि नै म्यानकोजेब (२.५ ग्राम प्रति लिटर) छर्कनुहोस्। रोगका थोप्ला देखिएमा मेटाल्याक्सिल + म्यानकोजेब (२ ग्राम प्रति लिटर) छर्कनुहोस् र आलुको फेदमा राम्रोसँग माटो चढाउनुहोस्।
खुर्सानीमा पात खुम्चिने र फल कुहिने रोग कसरी रोक्ने?,पात खुम्चिने रोग थ्रिप्स र सुलसुलेले सार्ने भाइरसले हुन्छ; यसका लागि इमिडाक्लोप्रिड वा फेनाजाक्विन छर्कनुहोस्। फल कुहिने वा डाँठ सुक्ने (एन्थ्राक्नोज) रोगका लागि कपर अक्सिक्लोराइड (२.५ ग्राम प्रति लिटर) वा एजोक्सीस्ट्रोबिन छर्कनुहोस्।
काँक्रो र लहरे तरकारीमा औँसा पार्ने फलको झिँगा कसरी नियन्त्रण गर्ने?,"फलको झिँगाले कलिलो फलभित्र फुल पारेर कीरा (औँसा) बनाउँछ र फल कुहाउँछ। क्यु-ल्युर (Cue-lure) फेरोमोन ट्रयाप प्रति रोपनी ४ वटा झुन्ड्याउनुहोस्, प्रोटिन बेट प्रयोग गर्नुहोस् र कलिला फललाई कागजको थैलाले छोप्नुहोस्।"
काउली र बन्दामा गाँठे रोग कसरी नियन्त्रण गर्ने?,गाँठे रोग (Clubroot) ले जरामा गिर्खा बनाएर दिउँसो बोट ओइलाउँछ। यो अमिलो माटोमा बढी फैलिन्छ। रोप्नुभन्दा ३ हप्ताअघि प्रति रोपनी ५० केजी कृषि चुन हालेर माटोको पीएच ७ भन्दा माथि पुर्याउनुहोस् र रोगी खेतमा तोरी/काउली समूहका बाली नलगाउनुहोस्।
काउली र बन्दामा पुतलीको लाभ्रे कीरा (DBM) कसरी नियन्त्रण गर्ने?,"डायमण्डब्याक मथ (DBM) का हरिया लाभ्रेले पातमा जाली बनाएर खान्छन्। फेरोमोन ट्रयाप प्रयोग गर्नुहोस्, तोरीलाई पासो बालीको रूपमा लगाउनुहोस् र जैविक ब्याक्टेरिया बीटी (Bt) वा स्पिनोस्याड (०.५ मि.लि. प्रति लिटर) छर्कनुहोस्।"
प्याज र लसुनमा बैजनी धब्बा रोग कसरी रोक्ने?,"बैजनी धब्बा रोग (Purple Blotch) मा पातमा बैजनी-खैरो लाम्चिला दागहरू बन्छन्। खेतमा पानी जम्न नदिनुहोस्, माथिबाट पानी नछर्कनुहोस् र म्यानकोजेब वा डिफेनोकोनाजोल (१ मि.लि. प्रति लिटर) मा टाँसिने गम (sticker) मिसाएर छर्कनुहोस्।"
एकीकृत शत्रुजीव व्यवस्थापन (IPM) भनेको के हो?,"आईपीएम भनेको बालीका शत्रु कीरा र रोग नियन्त्रण गर्ने वातावरणमैत्री उपाय हो। यसमा बाली चक्र, सरसफाइ, पहेँलो/फेरोमोन ट्रयाप, जैविक मित्रजीव (ट्राइकोडर्मा, लेडीबर्ड) प्रयोग गरिन्छ र अन्तिम विकल्पको रूपमा मात्र विषादी प्रयोग गरिन्छ।"
पहेंलो र नीलो टाँसिने ट्रयापले कसरी काम गर्छ?,"पहेंलो टाँसिने ट्रयापले सेतो झिँगा, लाही र पात खन्ने कीरालाई आकर्षित गरी टाँसेर मार्छ। नीलो टाँसिने ट्रयापले थ्रिप्स कीरालाई समात्छ। बिरुवाको मुन्टोभन्दा १५-२० से.मी. माथि प्रति रोपनी १०-१५ वटा ट्रयाप झुन्ड्याउनुपर्छ।"
फेरोमोन ट्रयापले कसरी कीरा नियन्त्रण गर्छ?,"फेरोमोन ट्रयापमा पोथी कीराको गन्ध (सेक्स फेरोमोन) राखिएको हुन्छ, जसले भाले पुतलीलाई आकर्षित गरी जालमा पार्छ। भाले कीरा नष्ट भएपछि प्रजनन् चक्र रोकिन्छ र बालीमा लाभ्रे कीराको आक्रमण निकै कम हुन्छ।"
प्लास्टिक मल्चिङ भनेको के हो र यसका के फाइदा छन्?,"कालो-चाँदी रङको प्लास्टिकले ड्याङ छोप्ने विधिलाई मल्चिङ भनिन्छ। यसले झार उम्रन दिँदैन, माटोको चिस्यान जोगाउँछ, जरालाई न्यानो राखेर छिटो उत्पादन दिन्छ, घामको परावर्तनले कीरा भगाउँछ र माटोबाट सर्ने रोग रोक्छ।"
प्लास्टिक टनेलमा तापक्रम र हावाको व्यवस्थापन कसरी गर्ने?,घाम लागेको दिन बिहानै टनेलको दुवै छेउका पर्दा खोलेर ओस र तातो हावा बाहिर निकाल्नुहोस् (उपयुक्त तापक्रम: २२–२८°C)। हिउँदमा साँझ पर्नुअघि पर्दा बन्द गरेर दिनको तातो भित्रै थुन्नुपर्छ ताकि तुषारो नपरोस्।
तरकारी बालीलाई असिनाबाट कसरी जोगाउने?,नर्सरी र खुला खेतका तरकारी ड्याङमा बाँस वा जीआई पाइपको फ्रेम बनाएर ३०-४० मेसको नाइलन एन्टि-हेल नेट (असिना छेक्ने जाली) लगाउनुहोस्। यसले असिनाको ठक्कर छेकेर पात र फल चोटपटक लाग्नबाट जोगाउँछ।
टनेल खेतीमा आकाशे पानी संकलन कसरी गर्ने?,प्लास्टिक टनेलको छानाबाट बग्ने बर्खाको पानीलाई पीभीसी पाइप वा पाइप-गटर जोडेर सिल्पाउलिन प्लास्टिक ओछ्याएको पोखरीमा जम्मा गर्न सकिन्छ। १०० वर्गमिटरको छानाबाट बर्खामा ८० हजार लिटरभन्दा बढी शुद्ध सिँचाइ पानी संकलन हुन्छ।
नेपालमा कृषि तथा बाली बीमा कसरी गर्ने?,"नेपाल सरकारले कृषि तथा बाली बीमाको प्रिमियममा ८०% अनुदान दिन्छ। किसानले आफ्नो लालपुर्जा र नागरिकताको प्रतिलिपि लिएर नजिकको निर्जीवन बीमा कम्पनी, सहकारी वा स्थानीय तहको कृषि शाखामा सम्पर्क गरी बाली बीमा गराउन सक्छन्।"
किसानले माटो परीक्षण र कृषि प्राविधिक सल्लाह कहाँ पाउँछन्?,"निःशुल्क वा न्यून शुल्कमा माटो परीक्षण तथा प्राविधिक सल्लाह आफ्नै गाउँपालिका/नगरपालिकाको कृषि विकास शाखा, जिल्लास्थित कृषि ज्ञान केन्द्र (AKC) र प्रादेशिक माटो तथा मल परीक्षण प्रयोगशालाबाट लिन सकिन्छ।"
बजार पठाउन तरकारीको ग्रेडिङ र प्याकेजिङ कसरी गर्ने?,"टिपेको तरकारीलाई आकार, रङ र शुद्धता अनुसार 'क', 'ख' र 'ग' श्रेणीमा छुट्याउनुहोस्। तरकारीलाई गुम्सिने प्लास्टिकको बोरामा नराखी हावा छिर्ने प्लास्टिक क्रेटमा प्याक गर्दा ढुवानीमा बिग्रिने र कुहिने समस्या हुँदैन।"
विषादी छर्किँदा के कस्ता सुरक्षा सावधानी अपनाउनुपर्छ?,"विषादी छर्किँदा सधैं मास्क, पञ्जा, चस्मा, लामो बाहुला भएको लुगा र बुट लगाउनुहोस्। हावा चलेको विपरित दिशा वा चर्को घाममा कहिल्यै नछर्कनुहोस्। विषादी चलाउँदा केही नखानुहोस् र काम सकिएपछि साबुनपानीले नुहाउनुहोस्।"
विषादीका खाली भाँडा कसरी सुरक्षित नष्ट गर्ने?,विषादी सकिएपछि बोतलमा ३ पटक पानी हालेर हल्लाउँदै स्प्रे ट्याङ्कीमै खन्याउनुहोस्। भाँडोलाई फेरि प्रयोग गर्न नमिल्ने गरी फुटाउनुहोस् वा प्वाल पार्नुहोस् र पानीको स्रोतभन्दा टाढा गहिरो खाडल खनेर पुर्नुहोस्।
कीरा नलागीकन पनि गोलभेँडाको पात किन माथितिर दोब्रिन्छ?,"अत्यधिक गर्मी, चर्को घाम, सुक्खा हावाहुरी वा धेरै हाँगाबिँगा एकैपटक काट्दा बोटले पानी जोगाउन पात माथितिर दोब्य्राउँछ। यदि पात पहेंलो नभई हरियै र स्वस्थ छ भने यो कुनै रोग होइन र यसले उत्पादन घटाउँदैन।"
के काँचो गोबर सिधै खेतबारीमा हाल्न मिल्छ?,"काँचो गोबर सिधै खेतमा कहिल्यै हाल्नुहुँदैन। काँचो गोबर कुहिँदा अत्यधिक तातो र अमोनिया ग्यास निस्कन्छ जसले जरा डढाउँछ। साथै यसमा हानिकारक ढुसी, ब्याक्टेरिया र झारपातका बीउहरू हुन्छन्।"
गाईको काँचो दूध छर्किँदा तरकारीलाई भाइरसबाट कसरी बचाउँछ?,१ भाग गाईको काँचो दूधमा ९ भाग पानी मिसाएर पातमा छर्किँदा दूधमा भएको प्रोटिनले पातको सतहमा प्राकृतिक तह बनाउँछ। यसले बिरुवामा लाग्ने भाइरसलाई निष्क्रिय बनाउँछ र खराने रोग लाग्न दिँदैन।
बाली चक्र (Crop Rotation) भनेको के हो र यो किन जरूरी छ?,एउटै जग्गामा लगातार एउटै जात वा परिवारका बाली (जस्तै गोलभेँडापछि आलु वा भन्टा) नलगाउने नियमलाई बाली चक्र भनिन्छ। बाली फेरेर दलहन वा मकै लगाउँदा माटोको उर्वराशक्ति बढ्छ र रोग-कीराको चक्र तोडिन्छ।
